,Unnamed: 0,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science,latitude,longitude
568,568,569,501-600,Otterbein University,43.3-46.6,569,15.0,308,16.8,127,-,655,-,725,593984,Ohio,"$31,874","$10,528","$41,800",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,40.12769685,-82.93625856
569,569,570,501-600,Portland State University,43.3-46.6,570,-,669,-,487,-,440,6.6,178,131485,Oregon,"$26,130",,"$43,233",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,45.51181205,-122.68493000000001
570,570,571,501-600,Queens University of Charlotte,43.3-46.6,571,16.3,248,15.9,355,-,722,-,462,593849,North Carolina,"$33,532","$11,844","$39,200",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,35.18876075,-80.83341174
571,571,572,501-600,Ramapo College of New Jersey,43.3-46.6,572,-,660,-,725,17.4,364,5.8,274,593414,New Jersey,"$23,214","$12,180","$49,067",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,41.08227485,-74.17383617
572,572,573,501-600,Robert Morris University,43.3-46.6,573,-,493,-,653,-,592,4.9,405,594344,Pennsylvania,"$29,420","$12,900","$45,267",0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,40.52155855,-80.21157832
573,573,574,501-600,SUNY College at Brockport,43.3-46.6,574,-,597,16.0,324,-,418,-,463,593699,New York,"$17,804","$12,904","$41,700",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,43.209853,-77.95135867
574,574,575,501-600,SUNY Cortland,43.3-46.6,575,-,611,-,489,18.4,319,-,624,593705,New York,"$17,950","$12,810","$45,800",0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,42.592711200000004,-76.19617275
575,575,576,501-600,SUNY at Fredonia,43.3-46.6,576,-,454,-,427,-,622,-,649,593708,New York,"$17,936","$12,490","$40,367",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,42.4537519,-79.3359844
576,576,577,501-600,SUNY Geneseo,43.3-46.6,577,-,631,-,575,18.7,310,-,625,593711,New York,"$18,058","$13,214","$47,233",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,42.79472665,-77.82271333
577,577,578,501-600,SUNY Oneonta,43.3-46.6,578,-,636,-,428,-,407,-,495,593717,New York,"$17,816","$12,794","$42,567",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,42.80154435,-74.93066701
