name,latitude,longitude
CUNY Brooklyn College,40.6304648,-73.952113
Chatham University,40.4476208,-79.92399541
University of Kentucky,38.02703575,-84.50481984
University of Toledo,41.6582432,-83.61478734
University of Cincinnati,39.1318525,-84.5157621
John Brown University,34.7773056,-92.3646106
Widener University,39.8606395,-75.35659321
William Jewell College,39.2513794,-94.41122223
Eckerd College,27.71426575,-82.68554318
University of Missouri-Kansas City,39.033966,-94.57805989
Pacific University,45.52186005,-123.1091121
Seton Hall University,40.74337195,-74.24685806
The College of St Scholastica,46.8161969,-92.10614491
Marietta College,39.41609505,-81.44842059
University of Minnesota Morris,45.5902344,-95.89930909
SUNY New Paltz,41.7390054,-74.0851655
Doane University,40.62131545,-96.94717593
Illinois College,39.7291655,-90.24647315
Roanoke College,37.2959521,-80.055934
University of Alaska Fairbanks,64.86534085,-147.8426178
"California State University, Chico",39.72949775,-121.8481053
Canisius College,42.92138645,-78.86016624
Indiana Wesleyan University-Marion,40.51642705,-85.66411627
The New School,40.73547915,-73.99707088
Mizzou - University of Missouri,38.9403808,-92.3277375
University of Redlands,34.0634404,-117.1638593
University of South Carolina-Columbia,33.9928298,-81.02685166
School of the Art Institute of Chicago,41.8789896,-87.6214996
California Lutheran University,34.2266493,-118.8785095
Lycoming College,41.2454429,-76.99988255
Ohio University (Main campus),39.32417815,-82.10051745
Ringling College of Art and Design,27.3603682,-82.548481
"California State University, Fresno",36.81387055,-119.7446221
College for Creative Studies,42.3612165,-83.0629826
Point Loma Nazarene University,32.7169659,-117.2510853
Calvin College,48.8502835,-98.93805923
Augustana University,43.5240975,-96.73873358
University of Hartford,41.8005014,-72.71446314
Hartwick College,42.45997815,-75.07146883
The College of Idaho,43.653187,-116.6768932
Alma College,43.38135085,-84.67131152
Bellarmine University,38.2187504,-85.70584114
University of Houston,29.7207902,-95.34406271
Loyola University New Orleans,29.9356364,-90.12045156
Andrews University,41.96966265,-86.36331554
Stetson University,29.03653465,-81.30054112
Assumption College,42.2953528,-71.82964377
Westminster College (Missouri),38.84916975,-91.95683344
Westminster College (Pennsylvania),41.1182434,-80.32868957
University of Louisville,38.2127098,-85.75786707
Oklahoma State University,36.1295801,-97.08853715
"California State University, Northridge",34.2455346,-118.5263194
Eastern Illinois University,39.4799556,-88.17552271
Florida International University,25.7553898,-80.37628328
Nazareth College,43.1030175,-77.520027
Stockton University,39.4900756,-74.53401952
Roosevelt University,41.8761445,-87.6251612
"California State University,  Monterey Bay",36.6516548,-121.7977985
Indiana University-Purdue University Indianapolis,39.9468678,-75.2071035
Millikin University,39.842988,-88.97426281
Pacific Lutheran University,47.14375725,-122.4443889
Taylor University,40.45608125,-85.50118837
Transylvania University,38.053107,-84.49398716
Cedar Crest College,40.5870414,-75.5196287
Wartburg College,42.7302936,-92.4854193
"California State Polytechnic University, Pomona",34.05596945,-117.8228761
Wittenberg University,39.9351075,-83.81305545
Gannon University,42.12726475,-80.08845289
Saint Vincent College,40.28991905,-79.40456288
Virginia Commonwealth University,37.548215,-77.45306422
Towson University,39.38966285,-76.61589249
Xavier University of Louisiana,29.9641367,-90.1064636
Hendrix College,35.10083115,-92.44201118
Lebanon Valley College,40.3310459,-76.5145469
Misericordia University,41.345197,-75.9707268
Seattle Pacific University,47.64883025,-122.3619627
Western Illinois University,40.47714685,-90.6862024
University of Alabama,33.21208215,-87.53967402
University of Alabama in Huntsville,34.7249108,-86.64049095
Alverno College,42.98375305,-87.96548224
Arcadia University,40.0916918,-75.16492827
Arizona State University (Downtown Phoenix),33.4529747,-112.0731721
University of Arkansas,36.065152,-94.17609534
Augsburg University,44.9662364,-93.24110466
Baldwin Wallace University,41.37163535,-81.84849031
Belmont University,36.13278325,-86.79265777
Benedictine University,41.7779976,-88.09699356
Berry College,34.290361,-85.189199
Bethel University,45.0598639,-93.16397776
CUNY Lehman College,40.8713962,-73.8963454
California College of the Arts,37.767859,-122.4006019
"California State University, Bakersfield",35.34926755,-119.1033258
"California State University, East Bay",33.7817687,-118.1151997
"California State University, Fullerton",33.88309195,-117.8852238
"California State University, Sacramento",38.5598752,-121.424094
"California State University, San Bernardino",34.18191745,-117.3217439
California State University,33.7642074,-118.2012118
Campbell University,35.408071,-78.7392468
Capital University,39.95576605,-82.93762891
Carroll College,46.6018191,-112.0385011
Cedarville University,39.7515874,-83.81424545
Central College,41.4035913,-92.93155778
Central Connecticut State University,41.69292775,-72.76553648
Clarke University,42.50961785,-90.69069442
Cleveland State University,41.50214445,-81.67516705
